id,movie_id,movie_name,review_text,sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,sentiment_label
3917,tt0068646,The Godfather,"This has got to be the most overrated movie of all time. When I found out about this infamous movie with a score this high. I was 100% sure I would have a good time. But as you know from the title this wasn't the case. I can understand that some people really like this movie. But for me this movie was just an average movie way too slow paced. And that probably has alot to do with the age of the movie it is after all from 1972. I am aware that if this would be released now it would be alot worse but maybe if they had waited a few years and released it in the 80s it could have been better even though you all think it is perfect. Maybe I am delusional or just too young too experience this ""masterpiece"" as you all call it. After all I have only just turned 18. I would love to have someone explain to me what makes this movie so good otherwise I guess I will just rewatch this in a few years.",0.9709,0.135,0.844,0.022,positive
1744,tt0068646,The Godfather,I saw this movie twice. It's an alright movie but really has no exceptional value. Certainly not as much as everyone seems to think. I believe people heap praise upon it because other people TELL them this is the best movie ever. I say to those people grow a backbone and watch some better movies.,0.964,0.32,0.633,0.046,positive
4417,tt0068646,The Godfather,"The Godfather is the greatest Drama movie ever. This movie has the best plot, acting, and script of all movies ever made. I would recommend it to everyone. Also, Part II is good too. 10 out of 10 ** out of ** If you liked this movie, I would recommend ""Scarface""",0.959,0.308,0.692,0.0,positive
1413,tt0111161,The Shawshank Redemption,"Greate movie, i was encourged by this movie long time ago",0.0,0.0,1.0,0.0,neutral
5106,tt0068646,The Godfather,"I love this movie and all of the GF movies. I see something new every time I have seen it (countless, truly). The story of tragedy and (little) comedy that exists in this film is easily understood by people all over the world. This film has been called an American story however I have met others who have seen this movie in other languages and they seem to have the same love and appreciation for it that I do. I love the characters and all of the different personalities that they represent not just in families but in society itself. It seems like the entire cast is part of every other movie that I love as well.",0.9657,0.196,0.782,0.021,positive
4221,tt0068646,The Godfather,"It's the best movie i have seen in my entire acting carrer. Marlon Brando is indeed the best choice for the role of the Godfather.It's a shame dough he dies in the end. Great Movie. Watch,buy the DVD Collection ! MSG yea that's me if u wanna know who i b 2Pac G-Unit Eminem 50 Cent The BEst YO long live Rap Yo if u like this movie u should watch ''The Matrix'' ;) oh boy im bored what else do i have to write on this comment all i wanted was a short one but no have to write an essay over here because people like to read a lot actually some do..depending on what it is",0.8655,0.143,0.803,0.054,positive
1634,tt0068646,The Godfather,"Coppola's near perfect masterpiece. A first class cast including, James Caan, Al Pacino and heavy weight Marlon Brando to name a few. There is not much I can add that hasn't already been written, it frankly is the quintessential family, Mafia gangster film. The 1950's nostalgic feel is captured, distinguished cinematography by Gordon Willis and the script honed. The costumes, locations and sets add to the overall authentic experience. Brando's aged make-up is incredible, particularly for 1972 and apart from some insignificant choppy editing and stock footage the film is near enough picture perfect. Timeless, compulsive viewing, there is a reason why The Godfather is on a pedestal as one of the greatest movies or of all time There is no offer to refuse, it's a must see.",0.8979,0.114,0.836,0.049,positive
1322,tt0111161,The Shawshank Redemption,"Directing, script is awesome, acting perfect. Film rocks forever",0.8316,0.527,0.473,0.0,positive
1309,tt0111161,The Shawshank Redemption,This is an amazing movie. I can watch it time and time and time again,0.5859,0.226,0.774,0.0,positive
4909,tt0068646,The Godfather,"I first saw The Godfather around 25 years ago, long before I became a film buff. I thought it was good, not great. When registering on IMDB a decade ago I rated it a 7/10 from memory. Incidentally part II I rated a little higher, an 8/10 due to the engaging flashbacks. Ten years of being a film buff..I've seen some incredible works in that time (including two Coppolas, namely his Apocalypse Now & Dracula). Curious if The Godfathers are as good as their 9.2/9.0 ratings on here, I purchased the Bluray-Restoration Trilogy and just now watched the 3-hour first movie..only my second watch, and the first time since 25 years or so. ..and my opinion is unchanged! The Godfather is a good film. It's very well made, with tons of neat intelligent scenes and dialogue. Well acted. Fitting music. Decent camera work. But it's also tricky to follow, a few times I wondered who characters were referencing..this isn't a problem I've had with Goodfellas or Sopranos. Michael's relationship drama with his two wives isn't really that compelling, and neither is the paranoid mob war. The motives of the antagonist mobsters don't feel convincing. A couple of action scenes have dated badly. One scene has Sonny punching clear air but the sound effects are claiming contact. Tho' the death scenes were generally done well and still look good today. Curiously, there's often no offered subtitles when the characters talk in Italian. Specifically an important restaurant scene is missing this. I later watched an online clip with the translation, and I disagree with Copolla: the subs should've stayed in. Also, the image-quality isn't that impressive for a claimed 4k-mastering restoration. Very deep blacks for indoor scenes, meaning you struggle to differentiate among all those black suits. I guess they were going for a chiaroscuro-style (like Caravaggio famously employed in his paintings), so this gets a pass. 7/10 feels absolutely fair. Yet poll after poll still puts this movie right at the top (or very close) in the all-time rankings. Citizen Kane is one of those I feel deserves such a reputation. The Godfather..not so much. Part II next. Let's see if it holds its 8/10 (hopefully improves on it!).",-0.8297,0.108,0.781,0.11,negative
1924,tt0068646,The Godfather,"I honestly don't know what to say .. This has got to be the worst movie i've ever had the misfortune to watch and yet it's getting such good reviews. Why anyone would give it a rating above 5 is a mystery to me. Is almost everyone on IMDb just wannabe critics or is there actually something that i just missed while watching this? I found it a challenge just to get through the movie never mind enjoy it! My advice to anyone thinking of watching this - don't, it will only disappoint you. There is no real plot or storyline and the movie is very disengaging. Characters and events are boring to follow and personally I feel that there are plenty more movies more deserving of the credit this movie is given.",-0.8325,0.069,0.799,0.132,negative
1524,tt0068646,The Godfather,"I was present when the filming of the Horse's head scene was done. I was a Police Officer in 1970 for the Nassau County Police Department, New York. I believe in the mid part of 1971, I was assigned, along with about 10 other officers and a Sergeant, to be at the Guggenheim Estate, Sands Point, Nassau County, NY. This estate was County property. The filming of the Horse's head scene and the dining room scene where Robert Duvall requests John Marley to give a film/singing role to one of the Don's relatives. Marley declines Duvall as you see a horse prancing in the meadow outside. Duvall says he will tell the Don in NY. Marley shrugs off Duvall. I was within 50' of both scenes. Coppola actually used real heads of horses ( they were shipped in ice in huge crates, they mixed a blood concoction). Coppola actually was very picky about the head he wanted to use. When Marley opens the sheet and discovers the head, it looks like sunrise. It was actually raining outside, and yellow cellophane was put on the windows. With the proper lighting, it looks like the sun was coming up, yet it was raining outside. The scene of the horse prancing outside was done at another location. The Guggenheim family were very rich and had art collections, etc throughout the mansion. The police were there to safeguard any of these collections. My girlfriend (now wife of over 41 years) was away at college. Banks of phones were set up. I was on the phone talking for a long time each of the three or four days assigned there. I was young and did not realize the assignment that I was on would be so important in the movie world. There were plenty of staff, extras, etc there. We were there for over 10/12 hours per day. Meals were catered. I also was assigned on traffic sometime later near the toll booth scene, filmed out on the old Mitchel Field Air Base. If you look close, at the toll booth, yellow parking lines are on the ground. Lindbergh, a friend of Guggenheim, flew from nearby Roosevelt Field. Somewhere in my attic, is my police memo book with exact dates when assigned as a ""rookie"" to the making of ""The Godfather"". Well, I guess I said enough, contact me if you need any more information. BTW, I retired in 2003, 33 year career. I became a supervisor in 1987 and was assigned to several movie filming on the ""Gold Coast"" of Long Island. One was the new version of ""Sabrina"", starring Harrison Ford..PS I never saw Marlon Brando, I think other scenes were done in Staten Island, part of NYC..thanks..",0.961,0.048,0.952,0.0,positive
1966,tt0068646,The Godfather,"And i have to say the book is so captivating and gives so many additional layers to the characters presented in the movie. ""The Godfather"" is very well directed and acted film. Also, almost all the scenes are very truthful to the source material. No wonder the movie is ""Mario Puzo's The Godfather"". From a classical movie perspective there's a lot to appreciate. I think they tried to be as authentic as possible casting Italian actors, but some were pretty weak in their performance. Also some didn't fit the character very well - I really can't accept Robert Duval as Tom Hagen. The ending of the movie also felt so much more rushed. With the pace it was all going I thought the ending of the book was going to be unfolder in the second movie, but that wasn't the case. Suddenly everything just happened quickly and that was it. I don't know, but I'm getting regrets that I didn't see the movie first. Honestly, Mario Puzo set the bar pretty high.",0.7798,0.114,0.808,0.078,positive
4495,tt0068646,The Godfather,"The Godfather.. 3 Oscars.. NONONONONONONONONO!! This film (And its others) Is THE worst piece of rubbish i have ever endured! I feel that it was an insult to my backside who was forced to grow carbuncles under the weight of such mafia slush. the acting is terrible, the premise is horrible and the time is awful. They made more than 1? yes. were any of them good (and i'm not biased, i always watch things till the end to get a full view.. i even watched the others although i hated it) no.. all awful, all too long, need i say more? My view -10/10",-0.9711,0.063,0.704,0.233,negative
2090,tt0068646,The Godfather,"Mario Puzo's The Godfather is one of the best films in history, and definitely the most iconic. Starring Marlon Brando and Al Pacino as its lead characters, it is much more than just a mafia film. It delves deep into society and family. It explores the corruption of government, the power the mafia had at the time, and doesn't hold back to portray the brutal life of the Corleone family. It tells a tragic story of how the well-mannered Michael Corleone turns into a cold-blooded murderer and eventually a kingpin. Throughout its long runtime, it gives you no time to rest, throwing twist after twist, and by the time credits start rolling, you will be rooted to your seat, your jaw wide open. Its storytelling is flawless, its characters are multi-layered and you care about them, especially Vito and Michael, who are essentially bad individuals.This is more than a movie, it is an epic, a journey, an observation of how great men descent into the world of crime. If you have not seen this yet, do so right now. You will never be able to look at other films the same way ever again.",-0.2263,0.092,0.811,0.096,negative
1891,tt0068646,The Godfather,"This is certainly one of the greatest movies ever made. It's such amazingly well-acted, well-written movie with an epic story line that takes you through many themes like love, sadness, loyalty, revenge and betrayal is such an encompassing and totally believable way. I will never get tired of watching this masterpiece. ""The Godfather"" is one of the few gangster films that connects the members of the Mafia as a family. The cinematography is rich and the music is perfect. However, I failed to see how Marlon Brando's performance was top notch. His acting was decent; he did not move much nor talk much. His voice also was barely understandable due to his croaking voice mumbling what sounded like English. Ultimately ""The Godfather"" still stands up as the best movie in the American crime gen",0.9719,0.234,0.668,0.099,positive
3871,tt0068646,The Godfather,i think this might sound wrong but i think this movie was alright. but as well as the first one I've got to give its props but in my opinion it doesn't compare to the second one. but i did not love it also think thank al pacino was the best actor in this movie. and i also believe the second one is far better than the first don't you think i meen come on please much more theatrical more excitement of course even better acting but as well as the the boat seen if you don't think this movie as as good the first one i think that there might be something you missed in the second like the boat seen or lots of stuff but you've got to remember it is just a movie ;>,0.9853,0.241,0.702,0.057,positive
679,tt0111161,The Shawshank Redemption,"Shawshank Redemption, based on a short story by Stephen King, is about a man named Andy who is sent to jail after being convicted of killing his wife and lover He adapts to jail and is planning something big - all through the film, clues are given as to what he is doing as he takes advantage of certain privileges he has. He makes friends with people in jail, and goes through his daily life. Hope is all he can hold on to, count on, and rely on. Through years he figures a way to end all of it. The story fallows himself and friends as they try to rid themselves of an underlying feeling - a feeling of always being trapped. They hated the walls of the jail. They've grown used to them. And they love them. But not Andy. Everything about this movie is amazing. Screenplay, cinematography,acting, production.. its simply one of the best films off all time.",0.9578,0.167,0.79,0.043,positive
4068,tt0068646,The Godfather,"Same story could be filmed much shorter.. Unnrcessarly long. In 3 hours very few things happen actually. Despite very long duration, there are still many disconnections among timelines.",0.0,0.0,1.0,0.0,neutral
1180,tt0111161,The Shawshank Redemption,I love this film but it has simply been blown out of proportions.,0.3818,0.191,0.809,0.0,positive
3977,tt0068646,The Godfather,"One of the best if not even the best movie about mafia (Along with part I and part II). A Oscar awarded movie,it might be old (1972) but I still recommend it to everybody. The actors Marlon Brando and Al Pacino will be for ever remembered for their part in this movie as Don Vito Corleone (Godfather) and Michael Corleone (his son that eventually became Godfather) Respect for the Writer , Director of the movie , Actors and everybody else that was on the set , they did a amazing job that has marked everybody that saw the Godfather series. Well done ! This movie has to be seen at least once in a lifetime ! Do not miss this movie !",0.9746,0.194,0.806,0.0,positive
1157,tt0111161,The Shawshank Redemption,"There's a reason why The Shawshank Redemption is top of so many film lists. It is a brilliant adaptation of the book by Stephen King. It captures the eloquence of his words and brings the characters to life. You care about the people in this film, and you're hurt when they are hurting. You want them to succeed, and the pay-off more than justifies the journey. If you haven't seen this film, why not watch it next?",0.7351,0.152,0.778,0.07,positive
4590,tt0068646,The Godfather,This is extremely owsome.it may be outstanding. Or.,0.6124,0.364,0.636,0.0,positive
35,tt0068646,The Godfather,"There is very little that I can add to the reviews on here, that have explained what is so wonderful about The Godfather so well. I have seen many amazing movies, as well as some clunkers, but The Godfather was beyond amazing. There are so many images, details and scenes that I seriously cannot get out of my head since watching it for the first time just nine hours ago. The Godfather is so incredibly well-made and acted that it stands out among the rest of those other amazing films I've seen, so much so I couldn't think of a single flaw, and I am struggling to think of a good enough reason to why I didn't see this film before now. True, The Godfather is a little slow-moving and the plot takes a while to unfold, but neither of these are flaws as such. The slow pacing added to the elegiac quality The Godfather has, and as for the plot what is special about this plot is that it is very unpredictable because you have next to no idea where it is next going to take you. Being 18, I was worried whether I was old enough to appreciate this film or even understand it, but luckily I understood it perfectly, and I can well and truly appreciate it for the masterpiece it is considered to be. The Godfather for one thing looks stunning. I strongly disagree with the previous reviewer who said the cinematography was horrid, for me the cinematography was one of the best assets of the film. In some scenes you have cinematography and lighting that is quite dark and mysterious, and then in scenes such as the wedding it is evergreen, autumnal and very picturesque. It is not just the cinematography that makes The Godfather look stunning, the costumes are beautifully tailored, the houses are gorgeous and majestic to look at and even the cars were immaculate. Then there is the score by Nina Rota. One word, outstanding! I have heard many wonderful scores in my lifetime, but after hearing this score few stick in the memory as much as the score for The Godfather. This score is both beautiful as seen with the main theme, and haunting in the way it sticks in your head after watching the film itself. Other outstanding assets are the masterly direction from Francis Ford Coppola, and the brilliantly written screenplay that is intelligent, thought-provoking and darkly humorous. As for the violence, some of it is shocking and intense especially in the climax which was enough to almost make your heart either beat twice as fast or stop, and I almost covered my eyes when the producer found the horse's head in his bed, but underneath that this family is somewhat loyal and honourable come to think of it. The acting is absolutely fantastic, bringing to life characters that are rich and complex, perhaps unlikeable at first but as you get to know them you warm to them. And I have to say, The Godfather is one of those rarities where no actor gives a weak performance. In particular, Marlon Brando is brilliant as Don Vito, very heavily disguised yet stately. Every word of dialogue, every subtle hand gesture and every facial expression was brilliantly judged. Al Pacino's casting was admittedly risky, but he still did a truly wonderful job carrying the film, while James Caan is dignified and loyal, Diane Keaton beautiful and alluring and Robert Duvall nicely understated. In conclusion, absolutely amazing, and I can see completely why it is considered one of the 10 greatest movies ever made, it is that good. In fact my 15-year old brother loved it so much, he wants to see it again. 10/10, though this film is too good for that rating. Bethany Cox",0.9996,0.27,0.674,0.057,positive
567,tt0111161,The Shawshank Redemption,"I always really enjoyed The Shawshank Redemption and my appreciation remains consistent with repeated viewings. With a 9.3 IMDB rating decades after it's release shows that this is a movie that speaks to people and I have not met anyone who doesn't like this movie. Among Steven King adaptations this is probably the best, I like Stanley Kubrick's The Shining, just as much for different reasons. But don't tell Steven King that, lol. The Shawshank Redemption is much more than a prison movie, it's an absolutely engrossing movie that has audiences glued to the screen from start to finish. Director Frank Darabond did a fantastic job putting this together with top notch cinematography, direction and a great attention to detail. Tim Robbins and Morgan Freeman give unforgettable performances. The Shawshank Redemption is flawless filmmaking and storytelling that has few films that are it's equal. All and all, The Shawshank Redemption is perfect in my book and is recommended to anybody who wants to see a great movie.",0.9902,0.227,0.732,0.041,positive
3533,tt0068646,The Godfather,"I think the movie was okay, but could have accomplished much more. I, personally, believe that the movie was way too long. There were a number of scenes and shots which served no purpose to the actual story line that could have been edited out and which made parts of it slow and dull. I realize that most of these were made for benefit of the director's artistic vision, but art doesn't always make for good story telling -- just look at 2001.",0.8674,0.179,0.754,0.067,positive
4131,tt0068646,The Godfather,"I tried to watch this film a couple of years ago.. since it is so hyped, and I'd never seen it before, I thought it would be worth seeing. I was wrong. Seriously, I found it hard to stay awake during the film - and eventually had to give up just over halfway through, and find something more interesting to do. This is a shame, because quite possibly it might have got more interesting towards the end - but it did not retain my interest for long enough. I did see the infamous scene with the horse's head, expecting it to be some cinematic masterpiece, but.. no, even that was an anticlimax.",0.1086,0.095,0.796,0.109,positive
4788,tt0068646,The Godfather,"There is always a risk when a film becomes a huge part of popular culture. So many of it's iconic moments and scenes are ripped off, riffed on, or parodied by countless shows and movies, that there is always a fear that the original will lose some of it's impact, and become comical and stale.",-0.1531,0.123,0.745,0.132,negative
4091,tt0068646,The Godfather,Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie Good Movie,0.9998,0.744,0.256,0.0,positive
5125,tt0068646,The Godfather,"What can one say? The plot of The Godfather is legend. The classic scenes and moments never stop coming at you. With such a gallery of great and interesting characters, how can they not? And then you have the brilliance of the cast to make it all possible. And yet through all this. The moments, adventure and excitement, Marlon Brando still manages to shine far beyond the rest of the cast. Judi Dench won one of those golden men for Best Supporting Actress after only 8 minutes of screen time. Well, Marlon won the big one after limited playing time in The Godfather, a movie that lasts for nearly three hours. When you think about how he still owns this film, it's close to scary. He haunts th screen, his presence is always being felt, he's always in the back of the heads of the other characters. Why? Because of greatness. Because he is the symbol, he is the reason why we think of the word Godfather in an entirely different way.",0.9833,0.187,0.777,0.036,positive
5418,tt0068646,The Godfather,"""The Godfather"" is an iconic masterpiece that redefined the crime genre. With its intricate narrative, unforgettable characters, and masterful direction by Francis Ford Coppola, the film delves deep into the world of the Corleone family. Marlon Brando's portrayal of Vito Corleone is legendary, and Al Pacino's transformation as Michael Corleone is compelling and powerful. The film's themes of loyalty, power, and family are explored with depth and nuance. Its cinematography, score, and screenplay are all exceptional, creating a cinematic experience that is as compelling today as it was upon its release. Truly, ""The Godfather"" is a timeless classic.",0.9371,0.188,0.781,0.031,positive
1001,tt0111161,The Shawshank Redemption,"The Shawshank Redemption is more than just a movie-it is a deeply moving and unforgettable cinematic experience that transcends time. From the very first scene to the heartwarming conclusion, this film grips your emotions and takes you on an incredible journey of perseverance, friendship, and the unbreakable power of hope. The storytelling is nothing short of breathtaking, weaving a compelling narrative that keeps the audience fully engaged from start to finish. Tim Robbins delivers a phenomenal performance as Andy Dufresne, a man wrongfully imprisoned who refuses to let despair consume him. His quiet strength and intelligence make him one of the most inspiring protagonists in film history. Morgan Freeman, as Ellis ""Red"" Redding, brings unmatched depth and wisdom to the story, narrating with a voice that lingers in the mind long after the credits roll. Their friendship is at the heart of the film, showcasing loyalty and trust in the most hopeless of places. Every scene is crafted with perfection, delivering a rollercoaster of emotions-moments of sorrow, triumph, and deep reflection. The stunning cinematography, hauntingly beautiful score, and powerful dialogues elevate the film to legendary status. Director Frank Darabont masterfully adapts Stephen King's novella, turning it into one of the most beloved films of all time. At its core, The Shawshank Redemption is a story about hope-the one thing that cannot be taken away, no matter how dire the circumstances. It teaches us that even in the darkest of times, the human spirit has the strength to endure and overcome. This movie is not just watched; it is felt, leaving an everlasting impression on the hearts of its audience. A true cinematic gem, The Shawshank Redemption stands as one of the greatest films ever made, inspiring generations and reminding us all that hope is the most powerful force of all. 🌈🔥",0.9955,0.234,0.7,0.067,positive
4941,tt0068646,The Godfather,"""The Godfather, directed by Francis Ford Coppola, stands as a titan in the pantheon of cinematic masterpieces, embodying the ruthless and engrossing world of crime, power, and familial bonds. The film, with its meticulously woven narrative, invites viewers into the morally complex universe of the Corleone family, a powerful dynasty navigating the perilous waters of organized crime. Marlon Brando's portrayal of the patriarch, Vito Corleone, is nothing short of iconic, offering a nuanced representation of power and vulnerability, a man guided by a distorted sense of honor and family loyalty. Al Pacino's transformation as Michael Corleone, from the reluctant son to a ruthless leader, is a character arc that stands as one of the greatest in film history, embodying the tragic repercussions of a life of crime. Coppola's direction is masterful, employing a rich tapestry of cinematographic techniques that paint a vivid, almost operatic portrait of a family bound by love and crime. The nuanced performances, coupled with Nino Rota's haunting score, create an atmosphere that is both thrilling and melancholy, capturing the essence of a bygone era with an unflinching eye. The Godfather offers a gritty yet poetic exploration of the human condition, a commentary on the American Dream seen through the lens of corruption and violence. Its enduring legacy lies in its ability to delve deep into the psyche of its characters, offering a window into a world that is as fascinating as it is horrifying. A quintessential viewing for anyone seeking to experience the pinnacle of storytelling, The Godfather remains a timeless testament to the art of filmmaking.""",0.1779,0.135,0.733,0.132,positive
356,tt0111161,The Shawshank Redemption,"Not much to say that hasn't been said. Great acting, character development, and plot. It's the ultimate story of overcoming adversity. Movies like this aren't made anymore and it is saddening.",-0.7779,0.064,0.696,0.24,negative
2497,tt0068646,The Godfather,"The Godfather is not only a cinematic masterpiece but also a monument. This is not a simple story about ""good guys"" or ""bad guys"", but about the complexity of people in different situations. The Godfather is not only a cinematic masterpiece but also a monument in popular culture. With profound content, great acting and timeless artistic value, this is a film not to be missed, especially for those who love the drama and crime genre. For some audiences, the film's pace is quite slow and there are many lengthy dialogues. However, this adds depth and realism to the story. Therefore, please try it once.",0.9061,0.21,0.667,0.123,positive
